chr	start	end	num_A	num_C	num_G	num_T	coverage
gi|1906382|gb|K03455.1|HIVHXB2CG	100	200	35	22	27	16	1872
gi|1906382|gb|K03455.1|HIVHXB2CG	200	300	24	22	31	23	2147
gi|1906382|gb|K03455.1|HIVHXB2CG	300	400	19	25	35	21	2064
gi|1906382|gb|K03455.1|HIVHXB2CG	400	500	17	26	29	28	3868
gi|1906382|gb|K03455.1|HIVHXB2CG	500	600	22	25	24	29	12082
gi|1906382|gb|K03455.1|HIVHXB2CG	600	700	29	25	30	16	28054
gi|1906382|gb|K03455.1|HIVHXB2CG	700	800	26	18	42	14	35684
gi|1906382|gb|K03455.1|HIVHXB2CG	800	900	42	9	29	20	37890
gi|1906382|gb|K03455.1|HIVHXB2CG	900	1000	33	24	24	19	35936
gi|1906382|gb|K03455.1|HIVHXB2CG	1000	1100	42	16	19	23	43452
gi|1906382|gb|K03455.1|HIVHXB2CG	1100	1200	47	22	22	9	45717
gi|1906382|gb|K03455.1|HIVHXB2CG	1200	1300	36	20	24	20	48058
gi|1906382|gb|K03455.1|HIVHXB2CG	1300	1400	37	23	21	19	44800
gi|1906382|gb|K03455.1|HIVHXB2CG	1400	1500	33	20	32	15	44267
gi|1906382|gb|K03455.1|HIVHXB2CG	1500	1600	40	17	20	23	37837
gi|1906382|gb|K03455.1|HIVHXB2CG	1600	1700	39	20	18	23	43539
gi|1906382|gb|K03455.1|HIVHXB2CG	1700	1800	38	17	23	22	39395
gi|1906382|gb|K03455.1|HIVHXB2CG	1800	1900	34	19	32	15	44164
gi|1906382|gb|K03455.1|HIVHXB2CG	1900	2000	40	16	23	21	44694
gi|1906382|gb|K03455.1|HIVHXB2CG	2000	2100	35	13	31	21	42691
gi|1906382|gb|K03455.1|HIVHXB2CG	2100	2200	31	26	28	15	43640
gi|1906382|gb|K03455.1|HIVHXB2CG	2200	2300	28	31	20	21	51653
gi|1906382|gb|K03455.1|HIVHXB2CG	2300	2400	42	11	29	18	64461
gi|1906382|gb|K03455.1|HIVHXB2CG	2400	2500	36	15	21	28	85901
gi|1906382|gb|K03455.1|HIVHXB2CG	2500	2600	33	17	19	31	75550
gi|1906382|gb|K03455.1|HIVHXB2CG	2600	2700	49	10	22	19	81016
gi|1906382|gb|K03455.1|HIVHXB2CG	2700	2800	46	15	17	22	79696
gi|1906382|gb|K03455.1|HIVHXB2CG	2800	2900	36	16	22	26	70334
gi|1906382|gb|K03455.1|HIVHXB2CG	2900	3000	34	21	18	27	65545
gi|1906382|gb|K03455.1|HIVHXB2CG	3000	3100	43	18	16	23	56284
gi|1906382|gb|K03455.1|HIVHXB2CG	3100	3200	35	15	28	22	61498
gi|1906382|gb|K03455.1|HIVHXB2CG	3200	3300	38	22	19	21	63260
gi|1906382|gb|K03455.1|HIVHXB2CG	3300	3400	34	14	26	26	66428
gi|1906382|gb|K03455.1|HIVHXB2CG	3400	3500	47	18	23	12	66370
gi|1906382|gb|K03455.1|HIVHXB2CG	3500	3600	45	17	17	21	67808
